Country,Average User,Luddite,Technically Savvy,Ultra Nerd
Afghanistan,33,27,37,40
Albania,42,7,41,15
Algeria,251,66,211,71
Andorra,25,13,16,13
Angola,17,8,12,12
Antigua and Barbuda,7,2,7,4
Argentina,1308,105,1151,258
Armenia,13,3,16,7
Australia,1159,79,854,258
Austria,680,39,804,214
Azerbaijan,23,6,10,11
"Bahamas, The",16,9,23,13
Bahrain,11,5,21,9
Bangladesh,131,28,166,75
Barbados,22,12,21,16
Belarus,16,7,22,21
Belgium,1002,102,885,275
Belize,22,11,22,19
Benin,55,14,37,21
"Bermuda,",2,1,4,1
Bhutan,2,2,3,2
Bolivia,157,21,131,22
Bosnia and Herzegovina,11,3,31,11
Botswana,10,1,9,2
Brazil,5199,328,5074,964
Brunei,8,1,5,1
Bulgaria,27,3,71,35
Burkina Faso,29,10,8,5
Burundi,8,4,5,1
Cambodia,18,2,11,6
Cameroon,95,7,69,8
Canada,1906,104,1486,463
Cape Verde,8,0,3,0
Central African Republic,3,1,2,1
Chad,11,0,5,1
Chile,534,31,545,105
China,27,2,48,20
Colombia,863,71,813,173
Comoros,4,0,2,2
"Congo, Democratic Republic of the",22,2,14,10
"Congo, Republic of the",8,0,9,0
Costa Rica,164,14,161,44
Cote d'Ivoire,80,10,79,25
Croatia,40,1,66,26
Cuba,43,7,51,16
Curacao,4,0,3,1
Cyprus,13,0,6,7
Czech Republic,27,1,71,27
Denmark,74,5,83,52
Djibouti,8,2,3,0
Dominica,3,0,0,0
Dominican Republic,67,2,100,14
East Timor (see Timor-Leste),6,0,2,4
Ecuador,577,65,330,69
Egypt,35,2,59,17
El Salvador,140,16,138,24
Equatorial Guinea,3,0,2,0
Eritrea,0,0,3,1
Estonia,17,0,25,11
Ethiopia,13,8,8,5
Fiji,15,4,12,4
Finland,53,5,102,44
France,11901,1236,11486,3097
Gabon,21,6,21,2
"Gambia, The",3,0,3,1
Georgia,6,1,8,3
Germany,8773,481,8234,2282
Ghana,30,1,45,6
Greece,89,8,172,68
Grenada,1,0,1,1
Guatemala,156,14,164,33
Guinea,15,0,11,2
Guinea-Bissau,2,1,0,0
Guyana,4,1,9,0
Haiti,10,1,10,3
Holy See,4,1,4,1
Honduras,63,2,80,18
Hong Kong,7,2,31,13
Hungary,25,0,54,21
Iceland,7,2,17,3
India,1046,121,1892,487
Indonesia,262,43,331,66
Iran,60,11,135,66
Iraq,3,1,13,5
Ireland,122,7,145,43
Israel,41,7,79,29
Italy,10934,1046,9631,2219
Jamaica,19,1,7,3
Japan,48,4,42,22
Jordan,6,0,12,6
Kazakhstan,1,0,7,1
Kenya,95,6,129,19
Kiribati,0,0,0,2
Kosovo,1,1,4,4
Kuwait,5,0,4,1
Kyrgyzstan,1,2,0,0
Laos,3,0,3,1
Latvia,6,0,23,6
Lebanon,8,0,20,5
Lesotho,2,0,2,0
Liberia,2,0,4,1
Libya,1,0,3,0
Liechtenstein,1,1,7,1
Lithuania,10,1,38,8
Luxembourg,65,8,57,16
Macau,2,0,6,1
Macedonia,6,2,15,6
Madagascar,72,5,49,7
Malawi,5,1,3,3
Malaysia,107,9,123,16
Maldives,1,0,5,0
Mali,17,3,23,3
Malta,13,2,11,7
Marshall Islands,2,1,0,0
Mauritania,2,0,2,0
Mauritius,24,1,24,5
Mexico,2602,197,2387,501
Micronesia,1,2,1,0
Moldova,8,1,8,3
Monaco,4,0,7,4
Mongolia,5,1,4,4
Montenegro,2,0,8,1
Morocco,171,13,169,50
Mozambique,15,0,4,3
Myanmar,24,3,19,4
Namibia,13,1,6,3
Nepal,37,9,61,14
Netherlands,134,8,207,109
Netherlands Antilles,3,0,1,1
New Zealand,298,21,184,40
Nicaragua,77,10,48,6
Niger,12,3,7,2
Nigeria,82,9,135,11
North Korea,2,5,2,5
Norway,56,5,103,48
Oman,4,0,8,0
Pakistan,86,18,139,27
Palestinian Territories,1,0,5,0
Panama,57,8,71,6
Papua New Guinea,5,0,5,3
Paraguay,107,9,104,17
Peru,323,39,301,63
Philippines,159,12,173,29
Poland,16,0,71,61
Portugal,87,6,126,36
Qatar,8,0,13,2
Romania,66,3,190,81
Russia,26,4,93,42
Rwanda,5,0,4,3
Saint Kitts and Nevis,2,2,5,0
Saint Lucia,2,2,2,0
Saint Vincent and the Grenadines,3,0,1,1
Samoa,1,0,2,0
San Marino,17,3,10,4
Sao Tome and Principe,2,0,2,0
Saudi Arabia,10,2,33,7
Senegal,50,7,44,10
Serbia,29,2,80,40
Seychelles,1,1,1,0
Sierra Leone,2,2,1,2
Singapore,42,4,59,13
Slovakia,13,1,35,12
Slovenia,12,3,35,10
Solomon Islands,4,1,1,0
Somalia,1,1,1,1
South Africa,153,13,196,64
South Korea,7,4,17,8
South Sudan,1,0,2,0
Spain,1945,153,1901,614
Sri Lanka,36,3,43,7
Sudan,5,1,9,4
Suriname,0,1,4,0
Swaziland,7,1,10,1
Sweden,55,5,112,83
Switzerland,1254,75,1198,315
Syria,2,2,11,7
Taiwan,11,2,21,9
Tajikistan,0,0,1,1
Tanzania,20,0,23,7
Thailand,55,5,47,14
Timor-Leste,0,0,1,1
Togo,22,5,15,3
Tonga,1,1,2,1
Trinidad and Tobago,10,0,13,7
Tunisia,63,7,81,30
Turkey,19,4,71,32
Turkmenistan,1,0,1,3
Tuvalu,3,2,2,0
Uganda,20,4,28,3
Ukraine,16,1,27,30
United Arab Emirates,21,2,52,14
United Kingdom,1989,124,1777,499
United States,8400,438,7185,1982
Uruguay,218,19,164,27
Uzbekistan,3,0,2,2
Vanuatu,3,2,3,1
Venezuela,720,85,499,87
Vietnam,30,5,37,15
Yemen,5,0,2,3
Zambia,12,1,6,4
Zimbabwe,26,16,33,10